MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Score,Free Kick,Duel,Pass,Others on the ball,Foul,Goalkeeper leaving line,Offside,Save attempt,Shot,Substitution,Interruption,Goal kick,Air duel,Throw in,Head pass,Ground loose ball duel,Simple pass,Launch,High pass,Touch,Ground defending duel,Hand pass,Ground attacking duel,Free kick cross,Smart pass,Cross,Corner,Clearance,Acceleration,Reflexes,Late card foul,Simulation,Free kick shot,Protest,Hand foul,Penalty,Violent Foul,Whistle,Out of game foul,Ball out of the field,Time lost foul,PassStatus,DuelStatus,OpponentFree Kick,OpponentDuel,OpponentPass,OpponentOthers on the ball,OpponentFoul,OpponentGoalkeeper leaving line,OpponentOffside,OpponentSave attempt,OpponentShot,OpponentSubstitution,OpponentInterruption,OpponentGoal kick,OpponentAir duel,OpponentThrow in,OpponentHead pass,OpponentGround loose ball duel,OpponentSimple pass,OpponentLaunch,OpponentHigh pass,OpponentTouch,OpponentGround defending duel,OpponentHand pass,OpponentGround attacking duel,OpponentFree kick cross,OpponentSmart pass,OpponentCross,OpponentCorner,OpponentClearance,OpponentAcceleration,OpponentReflexes,OpponentLate card foul,OpponentSimulation,OpponentFree kick shot,OpponentProtest,OpponentHand foul,OpponentPenalty,OpponentViolent Foul,OpponentWhistle,OpponentOut of game foul,OpponentBall out of the field,OpponentTime lost foul,OpponentPassStatus,OpponentDuelStatus
1,Opponent1,win,1,0,home,1,1,52,236,482,61,13,5,2,2,8,3,0,10,62,24,31,42,379,10,37,42,79,4,53,2,4,17,6,16,3,0,0,0,0,0,0,0,0,0,0,0,0,369,104,56,242,267,59,10,1,6,4,10,2,0,8,65,28,25,46,174,8,33,37,49,3,82,4,5,19,7,17,5,2,0,0,0,0,0,0,0,0,0,0,0,197,130
2,Opponent2,tie,1,1,away,1,0,52,190,276,57,11,2,3,7,7,3,0,17,40,29,30,41,179,30,27,32,70,2,39,4,3,5,1,20,5,4,1,1,0,1,0,0,0,0,0,0,0,180,87,49,194,521,68,7,2,0,2,18,3,0,5,42,28,22,43,432,7,22,58,34,5,75,2,14,19,7,4,6,1,0,0,1,0,0,0,0,0,0,0,0,416,109
3,Opponent3,loss,0,2,away,1,-2,39,169,419,52,8,3,0,7,7,3,0,5,29,20,17,34,332,16,35,29,66,8,40,5,2,9,3,22,1,3,0,0,0,1,0,0,0,0,0,0,0,324,63,44,194,563,63,11,1,0,1,18,3,0,6,29,26,17,41,471,12,28,35,45,5,79,0,14,16,6,16,12,0,0,0,0,0,1,0,0,0,0,0,0,471,114
4,Opponent4,loss,0,3,home,1,-3,46,207,446,46,14,1,4,6,9,3,0,10,44,17,30,35,337,13,34,34,75,6,53,1,5,21,7,10,2,5,0,0,0,0,0,0,0,0,0,0,0,354,103,50,221,455,79,13,0,3,0,15,3,0,7,46,23,42,43,323,8,42,57,56,7,76,2,11,22,3,17,5,0,0,0,1,0,2,0,0,0,0,0,0,345,105
5,Opponent5,loss,0,4,away,1,-4,37,187,469,75,13,1,4,6,6,3,0,9,28,17,24,25,387,12,28,49,72,4,62,3,6,8,1,23,3,4,0,0,0,0,1,0,0,0,0,0,0,382,95,43,199,468,60,15,2,2,3,12,3,0,6,28,18,18,31,379,5,35,39,61,1,79,2,7,23,4,10,11,2,0,0,2,0,0,1,0,0,0,0,0,373,99
6,Opponent6,win,2,1,home,1,1,36,239,414,51,12,3,3,4,15,3,0,6,49,23,21,29,303,14,46,42,90,1,71,3,11,18,4,6,3,1,0,0,0,0,0,0,0,0,0,0,0,318,113,36,217,397,83,11,5,1,5,8,3,0,4,40,16,28,23,298,6,33,56,64,5,90,1,10,17,6,11,16,4,0,0,0,1,0,0,0,0,0,0,0,294,119
7,Opponent7,loss,0,1,home,1,-1,37,234,501,88,12,3,1,2,24,3,0,6,94,15,45,37,366,17,34,71,46,3,57,1,5,31,9,10,7,2,0,0,0,0,2,0,0,0,0,0,0,384,134,52,199,281,71,8,6,1,4,4,1,0,18,66,18,38,28,165,22,38,41,57,1,48,4,4,13,3,27,3,1,0,1,0,1,0,0,0,0,0,0,0,179,74
8,Opponent8,tie,1,1,away,1,0,46,238,424,54,10,3,1,3,11,3,0,6,56,22,33,40,321,10,33,37,60,6,82,6,6,15,1,13,4,2,0,0,1,0,1,1,0,0,0,0,0,295,106,43,232,379,75,13,1,5,7,11,3,0,9,45,17,25,41,271,24,35,54,82,3,64,3,3,18,7,11,10,6,1,0,0,0,0,0,1,0,0,0,0,277,125
9,Opponent9,loss,2,5,home,1,-3,39,183,267,66,15,2,2,14,7,3,0,10,36,14,29,30,182,19,19,44,62,3,55,6,3,12,0,19,3,10,0,0,1,0,0,0,0,0,0,0,0,168,74,55,186,603,67,15,0,1,3,26,2,0,5,35,28,40,36,481,16,40,47,50,4,65,2,7,15,7,11,9,1,0,0,2,0,2,0,0,0,0,0,0,501,104
10,Opponent10,loss,0,2,away,2,-2,56,244,456,63,11,2,1,3,13,3,0,6,59,30,26,59,349,15,43,51,67,1,59,3,5,17,10,8,4,3,0,0,0,1,0,0,0,0,0,0,0,359,112,42,257,298,74,6,4,4,2,7,3,0,11,61,20,27,65,206,11,39,42,61,1,70,2,3,11,3,25,7,0,0,0,0,0,0,0,0,0,0,0,0,214,132
