MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Score,Foul,Free Kick,Pass,Duel,Save attempt,Clearance,Acceleration,Free kick shot,Penalty,Corner,Shot,PassStatus,DuelStatus,OpponentFoul,OpponentFree Kick,OpponentPass,OpponentDuel,OpponentSave attempt,OpponentClearance,OpponentAcceleration,OpponentFree kick shot,OpponentPenalty,OpponentCorner,OpponentShot,OpponentPassStatus,OpponentDuelStatus
1,1,1,1,0,0,1,1,13,52,482,236,2,16,3,0,0,6,8,369,104,10,56,267,242,4,17,5,0,0,7,10,197,130
2,2,0,1,1,1,1,0,11,52,276,190,7,20,5,0,0,1,7,180,87,7,49,521,194,2,4,6,1,0,7,18,416,109
3,3,-1,0,2,1,1,-2,8,39,419,169,7,22,1,0,0,3,7,324,63,11,44,563,194,1,16,12,0,0,6,18,471,114
4,4,-1,0,3,0,1,-3,14,46,446,207,6,10,2,0,0,7,9,354,103,13,50,455,221,0,17,5,1,0,3,15,345,105
5,5,-1,0,4,1,1,-4,13,37,469,187,6,23,3,0,0,1,6,382,95,15,43,468,199,3,10,11,2,1,4,12,373,99
6,6,1,2,1,0,1,1,12,36,414,239,4,6,3,0,0,4,15,318,113,11,36,397,217,5,11,16,0,0,6,8,294,119
7,7,-1,0,1,0,1,-1,12,37,501,234,2,10,7,0,0,9,24,384,134,8,52,281,199,4,27,3,0,0,3,4,179,74
8,8,0,1,1,1,1,0,10,46,424,238,3,13,4,1,1,1,11,295,106,13,43,379,232,7,11,10,0,0,7,11,277,125
9,9,-1,2,5,0,1,-3,15,39,267,183,14,19,3,1,0,0,7,168,74,15,55,603,186,3,11,9,2,0,7,26,501,104
10,10,-1,0,2,1,2,-2,11,56,456,244,3,8,4,0,0,10,13,359,112,6,42,298,257,2,25,7,0,0,3,7,214,132
11,11,1,3,2,0,2,1,13,50,285,268,3,13,1,0,1,2,8,183,119,12,65,442,260,5,8,5,0,1,5,10,317,143
12,12,0,2,2,1,2,0,26,42,240,248,7,28,6,0,1,4,7,132,95,9,74,510,240,5,9,4,1,0,9,14,426,149
13,13,-1,1,4,1,2,-3,13,37,303,216,7,12,9,0,0,2,5,247,102,6,52,657,225,2,9,6,0,0,7,15,504,118
14,14,1,4,0,0,2,4,17,35,412,265,2,23,7,0,1,2,6,347,148,6,51,486,234,5,9,5,0,1,6,5,347,91
15,15,1,2,0,0,3,2,12,51,346,284,2,21,2,0,0,2,6,271,133,9,52,378,191,4,22,5,0,0,5,4,224,89
16,16,0,1,1,1,3,0,11,40,159,213,4,32,2,0,1,1,1,80,82,8,54,728,200,2,3,11,1,0,12,24,605,122
17,17,1,1,0,1,3,1,11,36,406,234,4,32,5,0,0,1,7,304,106,10,64,451,241,4,8,4,1,0,4,13,362,129
18,18,1,3,1,0,3,2,11,46,415,202,3,15,2,0,2,6,10,312,110,14,47,390,181,7,13,4,1,0,3,7,302,85
19,3,0,0,0,0,3,0,8,30,320,240,7,30,3,0,0,2,4,248,99,4,48,678,174,0,7,6,1,0,7,24,498,88
20,19,0,0,0,1,3,0,13,61,324,236,2,31,0,0,0,2,5,230,118,14,54,364,210,3,11,1,1,0,10,13,230,105
21,6,-1,1,2,1,3,-1,12,38,461,262,7,13,4,0,0,4,7,366,129,7,50,384,224,1,15,8,0,0,4,17,204,100
22,5,-1,0,2,0,3,-2,11,38,353,216,6,15,2,0,0,6,10,239,114,11,48,562,211,0,12,15,0,0,6,21,476,100
23,4,-1,0,4,1,3,-4,15,37,343,239,10,18,0,0,0,3,5,236,107,11,52,549,230,0,11,3,0,0,3,20,473,128
24,19,0,1,1,0,3,0,16,53,462,317,5,17,7,0,0,0,8,320,152,11,55,317,275,4,11,4,0,0,3,15,186,144
25,10,1,2,1,0,3,1,10,46,331,216,2,35,9,0,0,5,11,249,106,10,61,431,176,4,8,2,0,1,5,6,273,77
26,9,-1,1,5,1,3,-4,8,43,355,211,7,19,4,0,0,6,11,287,111,8,34,523,192,2,17,6,1,0,4,14,423,87
27,12,1,3,1,0,3,2,14,52,373,208,4,16,5,2,0,8,8,283,110,15,52,317,226,5,17,5,0,1,7,13,220,107
28,11,-1,0,1,1,3,-1,10,53,334,266,5,29,4,0,0,5,4,238,141,12,48,392,261,3,15,9,1,0,6,12,260,117
29,7,-1,1,2,1,3,-1,11,46,325,268,10,22,11,0,0,4,10,220,139,9,63,395,226,4,7,7,0,0,10,21,255,97
30,8,1,2,0,0,3,2,10,58,404,239,4,12,11,0,1,10,12,312,121,14,44,281,200,5,24,7,0,0,3,10,172,85
31,1,1,2,1,1,3,1,11,43,430,190,4,10,7,1,0,9,15,329,92,13,30,301,195,9,19,5,0,0,1,10,215,96
32,2,-1,1,3,0,3,-2,9,41,182,129,5,18,0,1,0,2,5,109,56,8,41,940,155,3,9,5,0,0,11,18,877,85
33,16,0,0,0,0,3,0,12,47,315,227,4,25,5,0,0,3,6,207,106,7,51,543,212,1,17,5,1,0,2,10,446,103
34,18,0,1,1,1,3,0,11,38,405,230,6,27,11,1,0,3,10,336,123,10,52,430,222,4,5,7,0,0,6,15,293,98
35,17,1,1,0,0,3,1,10,48,469,242,2,13,8,0,0,4,7,347,98,12,50,360,270,1,17,4,1,0,6,8,240,157
36,15,1,2,0,1,3,2,8,44,408,234,1,22,10,0,0,3,6,302,120,10,60,452,200,4,15,8,0,0,4,9,298,100
37,13,0,1,1,0,3,0,14,52,388,268,5,17,12,1,0,3,6,293,135,13,47,331,223,2,14,11,2,0,4,8,246,99
38,14,-1,1,3,1,3,-2,12,35,341,160,4,16,0,0,0,6,13,275,85,10,34,448,170,8,9,15,1,0,6,15,355,75
